ode_type,f_expression,t0,y0,tf,step_size_h,exact_solution,num_steps,euler_l2_error,euler_time_ms,midpoint_l2_error,midpoint_time_ms,heun_l2_error,heun_time_ms,rk4_l2_error,rk4_time_ms,best_l2_error,best_cpu_time_ms,best_rk_method
linear,1.3,0,0.6,1.0,0.01,1.3*t + 0.6,100,3.1169993366075404e-15,0.019550323486328125,3.1169993366075404e-15,0.024080276489257812,3.1169993366075404e-15,0.024318695068359375,3.1169993366075404e-15,0.042438507080078125,3.1169993366075404e-15,0.019550323486328125,EULER
linear,-5.7,0,2.6,1.0,0.01,-5.7*t + 2.6,100,1.7229156191457772e-15,0.0152587890625,1.7229156191457772e-15,0.023603439331054688,1.7229156191457772e-15,0.023603439331054688,1.7229156191457772e-15,0.04267692565917969,1.7229156191457772e-15,0.0152587890625,EULER
linear,3.9,0,2.7,1.0,0.01,3.9*t + 2.7,100,6.352183506642008e-15,0.015497207641601562,6.352183506642008e-15,0.023365020751953125,6.352183506642008e-15,0.023365020751953125,6.352183506642008e-15,0.044345855712890625,6.352183506642008e-15,0.015497207641601562,EULER
linear,3.7,0,0.2,1.0,0.01,3.7*t + 0.2,100,2.8956342640266503e-15,0.0152587890625,2.8956342640266503e-15,0.024557113647460938,2.8956342640266503e-15,0.023365020751953125,3.2194936335607705e-15,0.04363059997558594,2.8956342640266503e-15,0.0152587890625,EULER
linear,3.8,0,3.2,1.0,0.01,3.8*t + 3.2,100,7.512592992039252e-15,0.0152587890625,7.512592992039252e-15,0.0247955322265625,7.512592992039252e-15,0.023603439331054688,7.512592992039252e-15,0.043392181396484375,7.512592992039252e-15,0.0152587890625,EULER
linear,3.2,0,3.9,1.0,0.01,3.2*t + 3.9,100,1.1234667099445444e-15,0.015497207641601562,1.1234667099445444e-15,0.023603439331054688,1.1234667099445444e-15,0.023365020751953125,1.1234667099445444e-15,0.04291534423828125,1.1234667099445444e-15,0.015497207641601562,EULER
linear,-6.1,0,3.2,1.0,0.01,-6.1*t + 3.2,100,2.6191382414823664e-15,0.015020370483398438,2.6191382414823664e-15,0.02384185791015625,2.6191382414823664e-15,0.02384185791015625,2.6221092183732924e-15,0.0438690185546875,2.6191382414823664e-15,0.015020370483398438,EULER
linear,-1.4,0,4.7,1.0,0.01,-1.4*t + 4.7,100,6.7867235175445175e-15,0.015020370483398438,6.7867235175445175e-15,0.024080276489257812,6.7867235175445175e-15,0.023603439331054688,6.7867235175445175e-15,0.04315376281738281,6.7867235175445175e-15,0.015020370483398438,EULER
linear,2.0,0,4.1,1.0,0.01,2.0*t + 4.1,100,2.48355079107164e-14,0.015497207641601562,2.48355079107164e-14,0.024318695068359375,2.48355079107164e-14,0.024080276489257812,2.48355079107164e-14,0.04267692565917969,2.48355079107164e-14,0.015497207641601562,EULER
linear,-5.9,0,4.0,1.0,0.01,-5.9*t + 4.0,100,4.122352718909821e-15,0.015020370483398438,4.122352718909821e-15,0.023365020751953125,4.122352718909821e-15,0.023126602172851562,4.122352718909821e-15,0.04267692565917969,4.122352718909821e-15,0.015020370483398438,EULER
